id,datetime,latitude,longitude,depth_km,magnitude,location,month,year
28 January 2022 - 05:37 PM-5.9600-125.3400-2.8,28 January 2022 - 05:37 PM,5.96,125.34,87,2.8,006  km S 82° E of Malapatan (Sarangani),January,2022
28 January 2022 - 05:03 PM-8.4300-125.9800-2.3,28 January 2022 - 05:03 PM,8.43,125.98,34,2.3,005  km N 25° W of Rosario (Agusan Del Sur),January,2022
28 January 2022 - 04:07 PM-19.2200-121.9400-2.6,28 January 2022 - 04:07 PM,19.22,121.94,101,2.6,032  km S 05° E of Babuyan Island (Calayan) (Cagayan),January,2022
28 January 2022 - 12:56 PM-6.0900-126.8100-4.7,28 January 2022 - 12:56 PM,6.09,126.81,14,4.7,102  km S 53° E of Governor Generoso (Davao Oriental),January,2022
28 January 2022 - 12:38 PM-8.5400-122.6700-3.1,28 January 2022 - 12:38 PM,8.54,122.67,29,3.1,046  km N 01° W of Liloy (Zamboanga Del Norte),January,2022
28 January 2022 - 12:37 PM-15.8300-121.0000-1.9,28 January 2022 - 12:37 PM,15.83,121.0,27,1.9,005  km N 15° E of San Jose City (Nueva Ecija),January,2022
28 January 2022 - 12:32 PM-20.2300-121.5600-3.0,28 January 2022 - 12:32 PM,20.23,121.56,1,3.0,035  km S 70° W of Sabtang (Batanes),January,2022
28 January 2022 - 12:15 PM-8.4900-125.7900-2.0,28 January 2022 - 12:15 PM,8.49,125.79,79,2.0,006  km S 80° E of San Luis (Agusan Del Sur),January,2022
28 January 2022 - 10:28 AM-16.3100-122.1600-2.1,28 January 2022 - 10:28 AM,16.31,122.16,36,2.1,005  km N 43° E of Casiguran (Aurora),January,2022
28 January 2022 - 09:20 AM-13.6700-120.5800-2.1,28 January 2022 - 09:20 AM,13.67,120.58,141,2.1,032  km N 87° W of Tingloy (Batangas),January,2022
28 January 2022 - 07:43 AM-7.7800-125.8200-2.1,28 January 2022 - 07:43 AM,7.78,125.82,17,2.1,005  km S 28° E of Laak (Davao De Oro),January,2022
